"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
20,,23853801.540661,78155309.701890,0,7,0,0,yes,1.000000
19,,102797716.068924,114135560.827912,0,8,0,0,yes,1.000000
18,,3456201.354849,34260270.486822,0,6,0,0,yes,1.000000
17,,227195960.353977,727790575.791895,0,21,0,0,yes,1.000000
16,,148175890.094612,427182400.572618,0,8,0,0,yes,1.000000
15,,13102763.391318,58067258.586957,0,11,0,0,yes,1.000000
14,,6001996.155702,55503515.017094,0,22,0,0,yes,1.000000
13,,8931772.451034,64968238.259629,0,13,0,0,yes,1.000000
12,,352533215.344209,1449950645.256615,0,41,0,0,yes,1.000000
11,,501908512.966683,527391264.381128,0,7,0,0,yes,1.000000
10,,551448418.822755,591447923.048828,0,7,0,0,yes,1.000000
9,,6062635.478561,49813208.829875,0,15,0,0,yes,1.000000
8,,1170071012.657410,2704898871.076966,0,26,0,0,yes,1.000000
7,,376396272.768339,3594597761.874192,0,38,0,0,yes,1.000000
6,,283242187.381411,821691088.750722,0,11,0,0,yes,1.000000
5,,501694534.627578,509144367.734716,0,7,0,0,yes,1.000000
4,,145211448.600232,172528925.854837,0,3,0,0,yes,1.000000
3,,746665780.128168,2858714435.987055,0,35,0,0,yes,1.000000
2,,213197082.166299,1898438970.065606,0,22,0,0,yes,1.000000
1,,111056428.065240,836481436.601228,0,23,0,0,yes,1.000000
