"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,61.000000,61.000000,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
2,61.000000,61.000000,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
3,58.000000,58.000000,58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
4,58.000000,58.000000,58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
5,58.000000,58.000000,58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
6,60.000000,60.000000,60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
7,60.000000,60.000000,60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
8,62.000000,62.000000,62,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
9,59.000000,59.000000,59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
10,59.000000,59.000000,59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
11,60.000000,60.000000,60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
12,60.000000,60.000000,60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
13,59.000000,59.000000,59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
14,59.000000,59.000000,59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
15,60.000000,60.000000,60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
16,59.000000,59.000000,59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
17,61.000000,61.000000,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
18,60.000000,60.000000,60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
19,58.000000,58.000000,58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,1.000000
20,59.000000,59.000000,59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,1.000000
